# Auto-exported from glossary.py JSON
かめはめ波	龟派气功
ワンピース	海贼王
ナルト	火影忍者
勇者	勇者
魔王	魔王
主人公	主角
仲間	伙伴
せんぱい	前辈
こうはい	后辈
先輩	前辈
後輩	后辈
先生	老师
センセイ	老师 / 先生
お嬢様	大小姐
おにいちゃん	哥哥
おねえちゃん	姐姐
幼馴染	青梅竹马
僕	我
俺	我
私	我
にんげん	人类
たすけて	救命
まって	等等
だいじょうぶ	没关系
すごい	好厉害
ばか	笨蛋
やった	做到了
えっと	那个…
やっぱり	果然
なるほど	原来如此
しまった	糟了
ちから	力量 / 力
必殺技	必杀技
結界	结界
封印	封印
覚醒	觉醒
暴走	暴走
宿題	作业
試験	考试
卒業	毕业
文化祭	文化祭
体育祭	运动会
恥ずかしい	好尴尬
寂しい	好寂寞
悔しい	不甘心
怖い	好可怕
嬉しい	好开心
ドキドキ	扑通扑通
ワクワク	兴奋期待
ガシャン	哐当
ドドド	咚咚咚
安芸倫也	安艺伦也
倫也	伦也
安芸	安艺
加藤恵	加藤惠
恵	惠
加藤	加藤
澤村・スペンサー・英梨々	泽村・斯宾塞・英梨梨
英梨々	英梨梨
澤村	泽村
東條	东条
希咲	希咲
理華	理华
美咲	美咲
楓	枫
澪	澪
凛	凛
茜	茜
蓮	莲
