# MIT 格式术语表 (格式：源词[至少一个Tab/空格]目标词[至少一个Tab/空格][#注释 或 //注释])  
# MIT Format Glossary (Format: source term[at least one Tab/Space]target term[at least one Tab/Space][#comment or //comment])  
# 使用“_”连接左侧单词使得它们作为一个源词的整体（Use "_" to join words so that they form a single entity as a source term）

# Anime Character Type
傲娇	Tsundere	# 表面冷漠内心温柔的角色  
元气少女	Genki Girl	# 活力充沛、乐观开朗的女孩角色  
天然呆	Dandere	# 安静内向但可爱的角色  

# Anime Term  
萌化	Moe-fication	# 使事物更可爱  
燃	Burning/Hype	# 热血沸腾的场景  
中二病	Chuunibyou	# 中二症候群  

# Character Names and Gender
野比_大雄	Nobita Nobi	# 男  
源_静香	Shizuka Minamoto	# 女  
灰原_哀	Ai Haibara	# 女  
工藤_新一	Shinichi Kudo	# 男  
路飞	Luffy	# male  
娜美	Nami	# female  
鸣人	Naruto	# male    
小樱	Sakura	# female    

# Regular Expression
第([0-9]+)话	Episode $1	# 匹配集数  
(男|女)主角	(Male|Female) Protagonist	# 主角类型  
(轻小说|漫画|动画)	(Light Novel|Manga|Anime)	# 媒体类型  

// ACG  
同人志	Doujinshi	// 粉丝创作的作品  
御宅族	Otaku	// 动漫爱好者  
声优	Voice Actor	// 配音演员  

# ── 角色称谓 / 关系 ──
先輩	前辈	# 学长/学姐
後輩	后辈	# 学弟/学妹
先生	老师	# 教师/医生/作家尊称
お嬢様	大小姐	# 富家千金
お坊ちゃん	少爷	# 富家公子
幼馴染	青梅竹马	# 从小一起长大的朋友
親友	挚友	# 最好的朋友
クラスメイト	同班同学	# 同学
部活	社团活动	# 课后社团
生徒会	学生会	# 学生组织

# ── 自称 / 第二人称 ──
僕	我	# 男性自称(温和)
俺	我	# 男性自称(粗犷)
私	我	# 通用自称(正式)
わたし	我	# 女性自称(通用)
あたし	我	# 女性自称(随意)
うち	我	# 女性自称(关西腔)
君	你	# 对同辈或下级的称呼
お前	你	# 对同辈或下级的称呼(粗犷)
あんた	你	# 关西腔「你」
手前	你	# 粗鲁的「你」

# ── 感叹词 / 语气词 ──
えっと	那个…	# 思考时的语气词
ちょっと	等一下	# 叫停或犹豫
やっぱり	果然	# 果然如此
なるほど	原来如此	# 理解了
どうして	为什么	# 疑问
すごい	好厉害	# 惊叹
やった	太好了	# 欢呼
しまった	糟了	# 失误
うるさい	吵死了	# 嫌弃
だまれ	闭嘴	# 命令
たいへん	糟了	# 惊慌
おやすみ	晚安	# 道别
いただきます	我开动了	# 饭前用语
ごちそうさま	我吃饱了	# 饭后用语
いってきます	我出门了	# 离家
ただいま	我回来了	# 归家
おかえり	欢迎回来	# 迎接归家

# ── 战斗 / 冒险术语 ──
魔法	魔法	# 保持不译
剣術	剑术	# 剑法
必殺技	必杀技	# 终极招式
結界	结界	# 防护屏障
呪い	诅咒	# 咒术
封印	封印	# 封锁力量
召喚	召唤	# 召唤生物
契約	契约	# 订立合约
覚醒	觉醒	# 解锁力量
暴走	暴走	# 失控
結末	结局	# 故事结尾

# ── 校园 / 日常 ──
宿題	作业	# 课后作业
試験	考试	# 测验
卒業	毕业	# 完成学业
入学	入学	# 开始学业
文化祭	文化祭	# 校园文化节
体育祭	运动会	# 校园体育节
職員室	办公室	# 教师办公室
購買	小卖部	# 学校商店
屋上	天台	# 楼顶

# ── 情感 / 心理 ──
恥ずかしい	好尴尬	# 害羞
寂しい	好寂寞	# 孤独
悔しい	不甘心	# 遗憾愤怒
怖い	好可怕	# 恐惧
嬉しい	好开心	# 喜悦
怒り	愤怒	# 生气
悲しい	好悲伤	# 难过
羡慕	羡慕	# 仰慕
嫉妬	嫉妒	# 吃醋

# ── 漫画拟声词（常见）──
ドキドキ	扑通扑通	# 心跳声
ワクワク	兴奋期待	# 期待声
ドドド	咚咚咚	# 奔跑/冲击声
ガシャン	哐当	# 金属撞击声
バン	砰	# 拍打/关门声
ズキズキ	一阵阵刺痛	# 疼痛声
ポロポロ	滴滴答答	# 泪水落下声
ニコニコ	笑眯眯	# 微笑表情
ブルブル	瑟瑟发抖	# 颤抖声
シーン	鸦雀无声	# 寂静声

# ── 神社 / 和风 ──
神社	神社	# 保持不译
巫女	巫女	# 神社少女
お守り	护身符	# 御守
おみくじ	抽签	# 神社抽签
鳥居	鸟居	# 神社门
縁側	廊檐	# 传统房屋外廊

# ── 饮食 ──
おにぎり	饭团	# 三角饭团
たこ焼き	章鱼烧	# 章鱼小丸子
お好み焼き	大阪烧	# 日式煎饼
ラーメン	拉面	# 日式拉面
うどん	乌冬面	# 粗面条
抹茶	抹茶	# 保持不译
弁当	便当	# 盒饭
